D3C,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1974-01-01,1,Brasil,24,Cabeças,92495364.0,1,Brasil,105,Efetivo dos rebanhos,1974-01-01,1974-01-01,2670,Bovino
1975-01-01,1,Brasil,24,Cabeças,102531758.0,1,Brasil,105,Efetivo dos rebanhos,1975-01-01,1975-01-01,2670,Bovino
1976-01-01,1,Brasil,24,Cabeças,107349052.0,1,Brasil,105,Efetivo dos rebanhos,1976-01-01,1976-01-01,2670,Bovino
1977-01-01,1,Brasil,24,Cabeças,107296556.0,1,Brasil,105,Efetivo dos rebanhos,1977-01-01,1977-01-01,2670,Bovino
1978-01-01,1,Brasil,24,Cabeças,106942565.0,1,Brasil,105,Efetivo dos rebanhos,1978-01-01,1978-01-01,2670,Bovino
1979-01-01,1,Brasil,24,Cabeças,109177486.0,1,Brasil,105,Efetivo dos rebanhos,1979-01-01,1979-01-01,2670,Bovino
1980-01-01,1,Brasil,24,Cabeças,118971418.0,1,Brasil,105,Efetivo dos rebanhos,1980-01-01,1980-01-01,2670,Bovino
1981-01-01,1,Brasil,24,Cabeças,121785084.0,1,Brasil,105,Efetivo dos rebanhos,1981-01-01,1981-01-01,2670,Bovino
1982-01-01,1,Brasil,24,Cabeças,123487834.0,1,Brasil,105,Efetivo dos rebanhos,1982-01-01,1982-01-01,2670,Bovino
1983-01-01,1,Brasil,24,Cabeças,124185999.0,1,Brasil,105,Efetivo dos rebanhos,1983-01-01,1983-01-01,2670,Bovino
1984-01-01,1,Brasil,24,Cabeças,127654597.0,1,Brasil,105,Efetivo dos rebanhos,1984-01-01,1984-01-01,2670,Bovino
1985-01-01,1,Brasil,24,Cabeças,128422666.0,1,Brasil,105,Efetivo dos rebanhos,1985-01-01,1985-01-01,2670,Bovino
1986-01-01,1,Brasil,24,Cabeças,132221568.0,1,Brasil,105,Efetivo dos rebanhos,1986-01-01,1986-01-01,2670,Bovino
1987-01-01,1,Brasil,24,Cabeças,135726280.0,1,Brasil,105,Efetivo dos rebanhos,1987-01-01,1987-01-01,2670,Bovino
1988-01-01,1,Brasil,24,Cabeças,139599106.0,1,Brasil,105,Efetivo dos rebanhos,1988-01-01,1988-01-01,2670,Bovino
1989-01-01,1,Brasil,24,Cabeças,144154103.0,1,Brasil,105,Efetivo dos rebanhos,1989-01-01,1989-01-01,2670,Bovino
1990-01-01,1,Brasil,24,Cabeças,147102314.0,1,Brasil,105,Efetivo dos rebanhos,1990-01-01,1990-01-01,2670,Bovino
1991-01-01,1,Brasil,24,Cabeças,152135505.0,1,Brasil,105,Efetivo dos rebanhos,1991-01-01,1991-01-01,2670,Bovino
1992-01-01,1,Brasil,24,Cabeças,154229303.0,1,Brasil,105,Efetivo dos rebanhos,1992-01-01,1992-01-01,2670,Bovino
1993-01-01,1,Brasil,24,Cabeças,155134073.0,1,Brasil,105,Efetivo dos rebanhos,1993-01-01,1993-01-01,2670,Bovino
1994-01-01,1,Brasil,24,Cabeças,158243229.0,1,Brasil,105,Efetivo dos rebanhos,1994-01-01,1994-01-01,2670,Bovino
1995-01-01,1,Brasil,24,Cabeças,161227938.0,1,Brasil,105,Efetivo dos rebanhos,1995-01-01,1995-01-01,2670,Bovino
1996-01-01,1,Brasil,24,Cabeças,158288540.0,1,Brasil,105,Efetivo dos rebanhos,1996-01-01,1996-01-01,2670,Bovino
1997-01-01,1,Brasil,24,Cabeças,161416157.0,1,Brasil,105,Efetivo dos rebanhos,1997-01-01,1997-01-01,2670,Bovino
1998-01-01,1,Brasil,24,Cabeças,163154357.0,1,Brasil,105,Efetivo dos rebanhos,1998-01-01,1998-01-01,2670,Bovino
1999-01-01,1,Brasil,24,Cabeças,164621038.0,1,Brasil,105,Efetivo dos rebanhos,1999-01-01,1999-01-01,2670,Bovino
2000-01-01,1,Brasil,24,Cabeças,169875524.0,1,Brasil,105,Efetivo dos rebanhos,2000-01-01,2000-01-01,2670,Bovino
2001-01-01,1,Brasil,24,Cabeças,176388726.0,1,Brasil,105,Efetivo dos rebanhos,2001-01-01,2001-01-01,2670,Bovino
2002-01-01,1,Brasil,24,Cabeças,185348838.0,1,Brasil,105,Efetivo dos rebanhos,2002-01-01,2002-01-01,2670,Bovino
2003-01-01,1,Brasil,24,Cabeças,195551576.0,1,Brasil,105,Efetivo dos rebanhos,2003-01-01,2003-01-01,2670,Bovino
2004-01-01,1,Brasil,24,Cabeças,204512737.0,1,Brasil,105,Efetivo dos rebanhos,2004-01-01,2004-01-01,2670,Bovino
2005-01-01,1,Brasil,24,Cabeças,207156696.0,1,Brasil,105,Efetivo dos rebanhos,2005-01-01,2005-01-01,2670,Bovino
2006-01-01,1,Brasil,24,Cabeças,205886244.0,1,Brasil,105,Efetivo dos rebanhos,2006-01-01,2006-01-01,2670,Bovino
2007-01-01,1,Brasil,24,Cabeças,199752014.0,1,Brasil,105,Efetivo dos rebanhos,2007-01-01,2007-01-01,2670,Bovino
2008-01-01,1,Brasil,24,Cabeças,202306731.0,1,Brasil,105,Efetivo dos rebanhos,2008-01-01,2008-01-01,2670,Bovino
2009-01-01,1,Brasil,24,Cabeças,205307954.0,1,Brasil,105,Efetivo dos rebanhos,2009-01-01,2009-01-01,2670,Bovino
2010-01-01,1,Brasil,24,Cabeças,209541109.0,1,Brasil,105,Efetivo dos rebanhos,2010-01-01,2010-01-01,2670,Bovino
2011-01-01,1,Brasil,24,Cabeças,212815311.0,1,Brasil,105,Efetivo dos rebanhos,2011-01-01,2011-01-01,2670,Bovino
2012-01-01,1,Brasil,24,Cabeças,211279082.0,1,Brasil,105,Efetivo dos rebanhos,2012-01-01,2012-01-01,2670,Bovino
2013-01-01,1,Brasil,24,Cabeças,211764292.0,1,Brasil,105,Efetivo dos rebanhos,2013-01-01,2013-01-01,2670,Bovino
2014-01-01,1,Brasil,24,Cabeças,212366132.0,1,Brasil,105,Efetivo dos rebanhos,2014-01-01,2014-01-01,2670,Bovino
2015-01-01,1,Brasil,24,Cabeças,215220508.0,1,Brasil,105,Efetivo dos rebanhos,2015-01-01,2015-01-01,2670,Bovino
2016-01-01,1,Brasil,24,Cabeças,218190768.0,1,Brasil,105,Efetivo dos rebanhos,2016-01-01,2016-01-01,2670,Bovino
2017-01-01,1,Brasil,24,Cabeças,215003578.0,1,Brasil,105,Efetivo dos rebanhos,2017-01-01,2017-01-01,2670,Bovino
2018-01-01,1,Brasil,24,Cabeças,213809445.0,1,Brasil,105,Efetivo dos rebanhos,2018-01-01,2018-01-01,2670,Bovino
2019-01-01,1,Brasil,24,Cabeças,214689984.0,1,Brasil,105,Efetivo dos rebanhos,2019-01-01,2019-01-01,2670,Bovino
2020-01-01,1,Brasil,24,Cabeças,217836282.0,1,Brasil,105,Efetivo dos rebanhos,2020-01-01,2020-01-01,2670,Bovino
2021-01-01,1,Brasil,24,Cabeças,224602112.0,1,Brasil,105,Efetivo dos rebanhos,2021-01-01,2021-01-01,2670,Bovino
1974-01-01,2,Grande Região,24,Cabeças,2210716.0,1,Norte,105,Efetivo dos rebanhos,1974-01-01,1974-01-01,2670,Bovino
1975-01-01,2,Grande Região,24,Cabeças,2113448.0,1,Norte,105,Efetivo dos rebanhos,1975-01-01,1975-01-01,2670,Bovino
1976-01-01,2,Grande Região,24,Cabeças,2247561.0,1,Norte,105,Efetivo dos rebanhos,1976-01-01,1976-01-01,2670,Bovino
1977-01-01,2,Grande Região,24,Cabeças,2400825.0,1,Norte,105,Efetivo dos rebanhos,1977-01-01,1977-01-01,2670,Bovino
1978-01-01,2,Grande Região,24,Cabeças,2577944.0,1,Norte,105,Efetivo dos rebanhos,1978-01-01,1978-01-01,2670,Bovino
1979-01-01,2,Grande Região,24,Cabeças,2800048.0,1,Norte,105,Efetivo dos rebanhos,1979-01-01,1979-01-01,2670,Bovino
1980-01-01,2,Grande Região,24,Cabeças,3687747.0,1,Norte,105,Efetivo dos rebanhos,1980-01-01,1980-01-01,2670,Bovino
1981-01-01,2,Grande Região,24,Cabeças,4167458.0,1,Norte,105,Efetivo dos rebanhos,1981-01-01,1981-01-01,2670,Bovino
1982-01-01,2,Grande Região,24,Cabeças,4757615.0,1,Norte,105,Efetivo dos rebanhos,1982-01-01,1982-01-01,2670,Bovino
1983-01-01,2,Grande Região,24,Cabeças,5458135.0,1,Norte,105,Efetivo dos rebanhos,1983-01-01,1983-01-01,2670,Bovino
1984-01-01,2,Grande Região,24,Cabeças,5946755.0,1,Norte,105,Efetivo dos rebanhos,1984-01-01,1984-01-01,2670,Bovino
1985-01-01,2,Grande Região,24,Cabeças,5273372.0,1,Norte,105,Efetivo dos rebanhos,1985-01-01,1985-01-01,2670,Bovino
1986-01-01,2,Grande Região,24,Cabeças,6095288.0,1,Norte,105,Efetivo dos rebanhos,1986-01-01,1986-01-01,2670,Bovino
1987-01-01,2,Grande Região,24,Cabeças,6899166.0,1,Norte,105,Efetivo dos rebanhos,1987-01-01,1987-01-01,2670,Bovino
1988-01-01,2,Grande Região,24,Cabeças,8061047.0,1,Norte,105,Efetivo dos rebanhos,1988-01-01,1988-01-01,2670,Bovino
1989-01-01,2,Grande Região,24,Cabeças,13148461.0,1,Norte,105,Efetivo dos rebanhos,1989-01-01,1989-01-01,2670,Bovino
